Date,Open,High,Low,Close,Adj Close,Volume
"May 27, 2025",79.83,80.34,78.35,78.9,78.9,"3,600,661"
"May 23, 2025",80.76,82.04,79.2,79.28,79.28,"4,178,500"
"May 22, 2025",80.64,83.13,78.47,82.07,82.07,"6,370,300"
"May 21, 2025",82.57,83.75,81.91,82.27,82.27,"4,692,200"
"May 20, 2025",83.1,83.35,81.34,83.1,83.1,"3,283,800"
"May 19, 2025",83.92,83.92,83.06,83.31,83.31,"1,785,900"
"May 16, 2025",84.04,85.07,83.96,84.62,84.62,"2,110,400"
"May 15, 2025",83.01,83.87,82.7,83.85,83.85,"1,659,300"
"May 14, 2025",83.06,83.79,82.8,83.27,83.27,"1,846,400"
"May 13, 2025",82.82,83.74,82.45,83.18,83.18,"1,984,600"
"May 12, 2025",82.59,82.8,81.34,82.67,82.67,"2,097,200"
"May 9, 2025",80.75,81.56,80.36,81.31,81.31,"1,854,400"
"May 8, 2025",79.07,80.84,78.85,80.25,80.25,"2,446,500"
"May 7, 2025",78.43,78.79,77.62,78.64,78.64,"2,652,700"
"May 6, 2025",77.88,78.81,77.43,78.05,78.05,"1,352,300"
"May 5, 2025",77.9,79.27,77.79,78.23,78.23,"1,749,300"
"May 2, 2025",77.87,78.67,77.7,78.23,78.23,"1,562,900"
"May 1, 2025",77.88,78.29,77.19,77.25,77.25,"1,959,500"
"Apr 30, 2025",76.83,77.66,76.11,77.54,77.54,"1,895,800"
"Apr 29, 2025",75.92,77.87,75.7,77.55,77.55,"1,837,100"
"Apr 28, 2025",76.27,76.64,75.66,76.16,76.16,"1,911,600"
"Apr 25, 2025",75.48,76.32,74.92,76.03,76.03,"1,300,200"
"Apr 24, 2025",73.17,75.69,72.92,75.49,75.49,"1,911,300"
"Apr 23, 2025",73.23,74.76,72.26,72.83,72.83,"1,514,200"
"Apr 22, 2025",71.74,72.04,70.96,71.74,71.74,"1,499,000"
"Apr 21, 2025",70.93,71.62,69.66,70.49,70.49,"1,350,600"
"Apr 17, 2025",71.63,72.19,71.07,71.49,71.49,"1,434,600"
"Apr 16, 2025",71.69,72.82,70.57,71.2,71.2,"1,460,100"
"Apr 15, 2025",71.96,73.13,71.79,72.4,72.4,"1,916,900"
"Apr 14, 2025",72.37,73.24,71.35,71.98,71.98,"1,660,500"
"Apr 11, 2025",70,71.5,68.83,71.34,71.34,"1,929,300"
"Apr 10, 2025",69.18,70.29,67.31,69.61,69.61,"2,969,400"
"Apr 9, 2025",66.25,72.34,65.62,71.83,71.83,"4,170,300"
"Apr 8, 2025",69.54,70.56,65.81,66.7,66.7,"2,760,900"
"Apr 7, 2025",64.78,70.08,64.41,68.05,68.05,"4,439,700"
"Apr 4, 2025",69.67,70.46,67.03,67.75,67.75,"4,687,900"
"Apr 3, 2025",72.01,73.38,70.67,73.25,73.25,"2,531,000"
"Apr 2, 2025",73.35,75.5,73.22,75.04,75.04,"1,418,700"
